category,name,model,contidition,price,stock
DISK,2021 CASE IH 375,375,Used,"$ 94,695 USD",3075555
COMBINE,2011 CASE IH 7088,7088,Used,"$ 94,160 USD",3073600
AIR DRILL,2014 CASE IH PD500,PD500,Used,"$ 94,160 USD",3061879
CORNHEAD,2020 CASE IH 4412,4412,Used,"$ 94,000 USD",3067469
CORNHEAD,2019 CASE IH 4412,4412,Used,"$ 93,946 USD",3046217
SPRAYER- SELF PROPELLED,2013 CASE IH 4430,4430,Used,"$ 93,500 USD",14140168
CORNHEAD,2020 CASE IH 4412,4412,Used,"$ 92,500 USD",3067144
COMBINE,2011 CASE IH 7088,7088,Used,"$ 92,020 USD",3070613
BALER,2018 JOHN DEERE L340,L340,Used,"$ 91,900 USD",3061333
2WD &amp; MFWD TRACTOR,2009 CASE IH 180,180,Used,"$ 90,950 USD",3010307
CORNHEAD,2019 GERINGHOFF NS1230,NS1230,Used,"$ 90,950 USD",3001938
DRAPER HEAD,2019 JOHN DEERE 745FD,745FD,Used,"$ 90,000 USD",3009985
COMBINE,2011 CASE IH AF9120,AF9120,Used,"$ 90,000 USD",3032377
SPRAYER- SELF PROPELLED,2011 CASE IH SPX4420,SPX4420,Used,"$ 90,000 USD",3053067
COMBINE,2010 CASE IH 7088,7088,Used,"$ 89,987 USD",2774305
COMBINE,2009 CASE IH 7088,7088,Used,"$ 89,900 USD",3071529
DISK,2018 KRAUSE 8050,8050,Used,"$ 89,880 USD",2990020
DRAPER HEAD,2019 JOHN DEERE 745FD,745FD,Used,"$ 89,880 USD",2995898
DISK,2019 KWIK TILL HSD4000,HSD4000,Used,"$ 89,880 USD",3046294
COMBINE,2009 CASE IH 7120,7120,Used,"$ 89,880 ",3068360
COMBINE,2010 JOHN DEERE 9870,9870,Used,"$ 89,666 USD",3032331
COMBINE,2011 CASE IH 8120,8120,Used,"$ 89,500 USD",3050824
COMBINE,2009 CASE IH 7088,7088,Used,"$ 89,500 USD",3066148
CORNHEAD,2016 CASE IH 4412F,4412F,Used,"$ 89,500 USD",3069436
